"Summary","Description","Issue Type","Priority","Component/s","Labels"
"[Web] Realtime + unconditional 3s poll run simultaneously","hooks/useOrderTrackingRealtime.ts:141 — setInterval(refreshOrderAndHistory, 3000) runs alongside the realtime channel with no health-gating, doubling backend load for no benefit when realtime is healthy.","Bug","High","Website Frontend","qa-audit performance"
"[Web] No AbortController on in-flight tracking fetches","useOrderTrackingRealtime.ts:64-96,154-165 — stale responses can land and overwrite state after unmount/navigation or after a newer request already resolved.","Bug","High","Website Frontend","qa-audit"
"[Web] Driver location polled every 2s unconditionally","useOrderTrackingRealtime.ts:151-165, no gating on realtime connection state — the website's own version of an already-documented customer-mobile-app bug.","Bug","High","Website Frontend","qa-audit performance"
"[Admin] Admin login reads password_hash via anon-readable RLS","services/adminAuthService.ts:85-104 (authenticateAdmin) calls getAdminClient() before any session exists, falling back to the anon-key client — then does bcrypt.compare() in the browser against a hash fetched over the public anon key. Anyone can dump every admin's password hash for offline cracking if the admins RLS policy still permits anon SELECT.","Bug","Highest","Admin Panel","security auth"
"[Admin] getAdminClient() silently downgrades to anon client","services/supabase.ts:46-55 — every function in adminAuthService.ts, adminService.ts, auditLog.ts, and every page calling getAdminClient() directly runs as fully anonymous the moment the session token is gone, with no error thrown.","Bug","Highest","Admin Panel","security"
"[Admin] Admin creation has no server-side role check or RLS","Confirmed via full grep of supabase/migrations/*.sql — zero RLS hits on admins. createAdmin() (adminAuthService.ts:190-227) does a plain insert with nothing at the DB layer stopping arbitrary role/permission assignment.","Bug","Highest","Admin Panel","qa-audit security"
"[Admin] Unchecked-mutation bug class in Notifications/AdminHeader","NotificationsPage.tsx:221-239 (markAllRead/markOneRead/deleteNotification) and :76-82 (PushNotificationPanel.handleSend), plus AdminHeader.tsx:118-120 (markAllRead) — all call .update()/.delete()/.insert() against admin_notifications with no error or row-count check, then optimistically update local state regardless of success.","Bug","High","Admin Panel",""
"[Admin] Store approval is 'blind' — no verification docs shown","StoresPage.tsx never selects/renders verification_document, verification_number, or owner_image_url — columns that exist and are already shown for delivery partners. Admin can click Approve without ever seeing the shopkeeper's submitted ID.","Bug","High","Admin Panel",""
"[Admin] PushNotificationPanel never actually sends a push","NotificationsPage.tsx handleSend (~57-100) fetches Expo push tokens, then only inserts an admin_notifications log row and reports success — there is no actual Expo push API call anywhere in the function. Admins believe a broadcast went out when none did.","Bug","High","Admin Panel","qa-audit"
"[Admin] No per-endpoint permission enforcement for admin roles","hasPermission() (adminAuthService.ts:293-309) is only checked from React components; nothing at the RLS or backend-middleware layer enforces role. A viewer-role admin can bypass the UI to perform writes their role shouldn't allow.","Bug","High","Admin Panel","qa-audit security"
"[Admin] Password-strength schemas defined but never used","admin/src/schemas/admin.schema.ts:11-39,41-68 enforce upper/lower/digit/special-char, but CreateAdminPage.tsx:65 / EditAdminPage.tsx:110 only check length < 8 — weak 8-character passwords like 'aaaaaaaa' are accepted for admin accounts.","Bug","High","Admin Panel","qa-audit security"
"[DB] Migrations can't bootstrap schema from an empty DB","Grepping every CREATE TABLE for coupons, app_users, stores, admins, categories, master_products, order_items, store_orders, and 12 other tables returns zero matches for all of them — only delivery_partners has a real tracked CREATE TABLE. supabase db reset or a fresh project from these migrations alone would fail immediately.","Bug","Highest","Supabase","infra"
"[DB] customer_orders.payment_method type never created","20260404120000_customer_orders_razorpay_payment_id.sql:109 declares type public.payment_method_type, but the enum actually created later is named public.payment_method (no _type suffix). Replayed purely from tracked migrations, this fails.","Bug","Highest","Supabase","infra"
"[DB] public.order_status enum has no CREATE TYPE","The single most important enum in the app (drives all order lifecycle transitions) — used from 20260404120000 onward and later ALTER TYPE ... ADD VALUE'd, but never created.","Bug","Highest","Supabase","infra"
"[DB] SECURITY DEFINER functions missing SET search_path","accept_driver_offer(), auto_offline_stale_drivers(), is_account_locked(), is_admin_authenticated(), notify_admin_new_order(), notify_admin_new_user(), debug_admin_headers(). is_admin_authenticated() is the most sensitive — sole gate for every admin_full_access RLS policy across 9 tables. Standard Postgres privilege-escalation hardening gap.","Bug","High","Supabase","security"
"[DB] debug_admin_headers() diagnostic function never dropped","Despite its own comment saying 'safe to drop once resolved' (it has been). SECURITY DEFINER, no search_path pin, granted to anon/authenticated, returns the full matching admin_sessions row (including session_token) to any caller with a valid x-admin-token.","Bug","High","Supabase","security"
"[Store] Push notifications never initialized at app startup","lib/notifications.ts's notificationService.initialize() has no caller anywhere in the app — the only way a token gets registered is manually opening Settings -> Notifications -> Enable, despite copy implying it's on by default.","Bug","Highest","Store-owner App",""
"[Store] No global 401 handling","lib/api-client.ts's request() never inspects 401s to trigger logout; error-handler.ts has a handleAuthError() that's dead code. Every screen shows empty data indefinitely on an expired session.","Bug","Highest","Store-owner App",""
"[Store] clearSession() doesn't clear the store-list cache","session.ts:56-63 never calls clearStoreCache() — real cross-account data leak window on shared devices; shopkeeper B briefly sees A's store name/address/approval status.","Bug","High","Store-owner App","security"
"[Store] Push token never cleared on logout","Same root cause as the initialize() gap — a shared device could keep delivering one shopkeeper's order notifications to whoever's currently logged in.","Bug","High","Store-owner App",""
"[Store] useRequireStoreApproval() is reactive, not preventive","The redirect only fires after an async round-trip resolves; Orders/Payouts/Inventory data-fetching effects run in parallel unconditioned on the approval check. If the request errors, the guard fails open silently forever.","Bug","High","Store-owner App","security"
"[Store] Orphaned inventory.tsx route has no approval guard","Still deep-link-reachable via Expo Router's file-based routing even though no in-app navigation targets it; writes directly to the DB.","Bug","High","Store-owner App","security"
"[Rider] Service-role key plumbed into the client bundle","constants/config.ts:33-37 + app.config.js:86-90 — if EXPO_PUBLIC_SUPABASE_SERVICE_ROLE_KEY is ever set at build time, the full-privilege key ships inside every installed APK/IPA, extractable via decompilation.","Bug","Highest","Rider App","security"
"[Rider] Unauthenticated fallback leaks every rider's PII","app/(tabs)/profile.tsx:110-135 — if /delivery-partner/profile fails, falls back to fetching the entire delivery-partner roster with no token, exposing every other rider's verification documents, phone, and address.","Bug","High","Rider App","security pii"
"[Rider] 'Always' location requested but never used","app.config.js configures always-permission, but code only calls requestForegroundPermissionsAsync() and uses foreground-only watchPositionAsync + a JS setInterval heartbeat. A rider mid-delivery with a locked phone has stale location while still being dispatched new offers.","Bug","High","Rider App",""
"[Rider] Reinstatement invisible until app restart","The status-approval poll only starts when driverStatus === 'pending_verification' — a rider reinstated while the app stays open has no way to discover it short of force-quitting.","Bug","High","Rider App",""
"[Rider] Approval detection is poll-only, no realtime","Unlike order offers, which do use Realtime. A newly-signed-up rider waits up to 30s after admin approval to see it reflected.","Bug","High","Rider App",""
"[Rider] No ErrorBoundary anywhere in the app","An unhandled render exception crashes the whole app with no fallback UI.","Bug","High","Rider App",""
"[Cust] Logout doesn't clear cart/push token","One of 6 previously-known issues, still open.","Bug","High","Customer App",""
"[Cust] Service-role key still required for 4 files","lib/supabase.ts:31-54 builds an admin client from a service-role key; addressService.ts, authService.ts, product/coupons.tsx, distanceUtils.ts all still depend on it. Either the key ships inside every installed app (full DB compromise) or these features are broken in production. Needs an architecture fix routing through the authenticated backend. (Order placement's piece of this is already fixed.)","Bug","Highest","Customer App","security"
"[Cust] IDOR on authService.ts/addressService.ts","Both take a bare userId string with zero check it matches the authenticated session. Anyone can query any other customer's full profile and saved addresses by ID alone. (Order placement's piece of this is already fixed; read-only order-history/status lookups also still open.)","Bug","Highest","Customer App","security"
"[Cust] Cart is never cleared after a successful order","COD or paid — the only clearCart() call site is in the failed/cancelled payment branch. A customer can accidentally re-order the same items.","Bug","High","Customer App",""
"[Cust] No cart quantity ceiling or stock check anywhere","CartContext.tsx places no upper bound on quantity, and createOrder never validates against any inventory field before inserting.","Bug","High","Customer App",""
"[Cust] discount_amount hardcoded to 0 on every order","orderService.ts:375 — regardless of an applied coupon; the discount is folded into total_amount, but the dedicated finance/reporting column is always wrong.","Bug","High","Customer App","money"
"[Cust] Coupon expiry is fetched but never enforced","Client or server side — an expired-but-still-active coupon remains applicable with zero re-validation at order-creation time.","Bug","High","Customer App","money"
"[Cust] Google Maps key called directly, bypassing backend proxy","Confirmed direct calls to maps.googleapis.com at multiple screens; backend/src/routes/places.routes.ts already provides an equivalent proxy and is never called. Ships a billable, extractable key inside every installed app.","Bug","High","Customer App","qa-audit security cost"
"[Cust] Invoice screen is fabricated client-side; PDF is a stub","app/order/invoice/[id].tsx:38-54 builds a fake invoice locally, never calling the real backend invoice endpoint. Download shows a 'coming in next update' alert. Customers cannot get a real tax invoice from the app.","Bug","High","Customer App","qa-audit"
