"Summary","Description","Issue Type","Priority","Component/s","Labels"
"[BE] Legacy createOrder hardcodes Rs 20 delivery fee","orders.controller.ts:89 — const PER_STORE_DELIVERY_FEE = 20, used regardless of actual distance. Distinct, older path from placeCheckoutOrder — customers on this path are charged a fee unrelated to real distance, diverging from the site's own distance-tier pricing.","Bug","Medium","Backend","qa-audit money"
"[BE] GET /api/coupons has no active/expiry filter","coupons.controller.ts:6-14 -> getCoupons() does a bare select('*'), no is_active/expiry predicate; filtered version only exists at /active. Now admin-only, which lowers severity, but admins still see expired/inactive coupons mixed into the main list.","Bug","Medium","Backend","qa-audit"
"[BE] acceptOffer's post-RPC follow-up writes are non-atomic","deliveryPartner.controller.ts:836/844 — customer_orders and store_orders updates run after the atomic accept_driver_offer RPC, but aren't transactional with it or each other; a crash between them can leave the two tables disagreeing about who's assigned.","Bug","Medium","Backend","qa-audit dispatch"
"[BE] 3 duplicate haversine/distance implementations","database.service.ts:1307 (calculateDistance), delivery.controller.ts:203 (inline haversine), shopkeeper.controller.ts:19 (haversineKm). No shared utility — any future fix has to be applied in three places independently.","Bug","Medium","Backend","qa-audit tech-debt"
"[BE] No global Express error-handling middleware","server.ts registers no 4-argument (err, req, res, next) handler anywhere; every route relies on its own try/catch, so an uncaught throw outside those crashes the request with Express's default error page instead of a controlled JSON response.","Bug","Medium","Backend","qa-audit"
"[BE] express.json() has no explicit body size limit","server.ts:78 — app.use(express.json()) with no limit option. Relying on Express's implicit default rather than an intentional limit — plausible DoS vector via oversized payloads on public routes.","Bug","Medium","Backend","qa-audit security"
"[BE] tracking_events table is fully dead, no inserts","Confirmed via full grep of backend/src — the table exists in migrations and a route theoretically supports it, but only order_status_history is actually written.","Bug","Medium","Backend","qa-audit"
"[BE] Notification-preference endpoints are no-op stubs","getNotificationPreferences/updateNotificationPreferences return fixed values / echo input without touching the DB. Narrow, low-traffic, but a real stub alongside the otherwise-real notification system.","Bug","Medium","Backend","qa-audit"
"[BE] getAgentSchedule ignores params, always returns []","A stub, not wired to any real schedule data.","Bug","Medium","Backend","qa-audit"
"[BE] crypto.randomUUID() used without importing crypto","auth.controller.ts:195,337 — works only because Node's global crypto happens to be available unprefixed; fragile across environments/bundlers.","Bug","Low","Backend","tech-debt"
"[BE] sendSMS is a dead stub","notification.service.ts:113-117 — always returns success without sending anything (// TODO: Twilio / AWS SNS).","Bug","Low","Backend",""
"[BE] requireShopkeeper blocks own profile for unapproved","shopkeeper.controller.ts:30-71 — a newly-signed-up shopkeeper can't check their own approval status.","Bug","Low","Backend",""
"[BE] Expo push sends never inspect per-message errors","delivery.controller.ts:232-241, shopkeeper.controller.ts:499-511,550-560 — stale/invalid tokens never get cleaned up, failures are invisible.","Bug","Low","Backend",""
"[BE] Duplicate Express Request augmentation in invoice.controller","invoice.controller.ts:9-15, already redundant with 3 other files — the file's own comments document this exact duplication caused a real bug once before.","Bug","Low","Backend","tech-debt"
"[BE] getProductById fetches whole catalog then .find()s","products.controller.ts:51-66 — databaseService.getProductsWithDetails() (no filter) then linear-scans for the one product. Latency/cost concern as the catalog grows.","Bug","Low","Backend","qa-audit performance"
"[BE] getNearbyStores does a full scan + JS-side filter","database.service.ts:283-298 — select('*').eq('is_active', true) over all stores, then filtered by distance in JS. No PostGIS/SQL-side geo filter, on a hot customer-facing path.","Bug","Low","Backend","qa-audit performance"
"[BE] getProductsWithDetails does full-scan + JS filter","database.service.ts:245-281 — queries unfiltered by location, then filters by calculateDistance() in JS when a radius is requested.","Bug","Low","Backend","qa-audit performance"
"[Web] Razorpay amount fully client-computed, no recheck","pages/CheckoutPage.tsx:427 -> services/paymentGateway.ts:76-89 posts a client-computed amount to /api/payment/create. Combined with backend order-total trust issues, there's no verified guardrail preventing a manipulated total from reaching payment creation.","Bug","Highest","Website Frontend","security money"
"[Web] Direct-from-browser order-write fallback path","utils/apiBase.ts:18-21 (shouldUseBackendApi) + services/supabase.ts:483-750 (createOrder) — if VITE_API_URL is ever unset in production, the app falls back to writing customer_orders/store_orders/order_items directly from the browser via an anon-key client, letting the client set order_total/discount_amount/payment_status directly, relying entirely on unverified RLS.","Bug","Highest","Website Frontend","security money"
"[Web] Logout doesn't clear the cart","context/AuthContext.tsx:166-186 (logoutUser) never calls clearCart(). Shared/kiosk device: User B logs in after User A logs out and sees/can check out User A's cart. LocationContext's saved location is likewise never cleared.","Bug","High","Website Frontend",""
"[Web] No global 401 handling on the customer site","Only ShopkeeperApp.tsx/DriverApp.tsx check status === 401; the actual customer flow never detects an expired/revoked session, clears it, and redirects to login — user gets stuck with isAuthenticated: true but every API call silently failing.","Bug","High","Website Frontend",""
"[Web] useOrderTrackingRealtime.ts stale closure bug","Lines 64-96,99-147 — the realtime-subscription effect's dependency array is [orderId, !!order] (a boolean), not [orderId, order], so the closure keeps referencing the first render's order object. Any order field not explicitly re-assigned in each update permanently reverts to its first-render value.","Bug","High","Website Frontend",""
"[Web] GSTIN/business name discarded from order payload","pages/CheckoutPage.tsx:80-82 (state) / :451-474 (orderData — no gstin/businessName field). Business customers filling this in get no GST record on their invoice. Distinct from the mobile app's version, already fixed.","Bug","High","Website Frontend","qa-audit money"
"[Web] Invoice download sends raw UUID as Bearer token","pages/OrdersPage.tsx:251-254 — Authorization: Bearer ${user.id}. Fragile/misleading auth pattern; would be directly exploitable if requireCustomer ever regressed to accepting bare UUIDs.","Bug","High","Website Frontend","qa-audit security"
"[Web] Realtime + unconditional 3s poll run simultaneously","hooks/useOrderTrackingRealtime.ts:141 — setInterval(refreshOrderAndHistory, 3000) runs alongside the realtime channel with no health-gating, doubling backend load for no benefit when realtime is healthy.","Bug","High","Website Frontend","qa-audit performance"
"[Web] No AbortController on in-flight tracking fetches","useOrderTrackingRealtime.ts:64-96,154-165 — stale responses can land and overwrite state after unmount/navigation or after a newer request already resolved.","Bug","High","Website Frontend","qa-audit"
"[Web] Driver location polled every 2s unconditionally","useOrderTrackingRealtime.ts:151-165, no gating on realtime connection state — the website's own version of an already-documented customer-mobile-app bug.","Bug","High","Website Frontend","qa-audit performance"
"[Web] Toast auto-dismiss timers reset on any list change","NotificationContext.tsx:34-48 — bursts of notifications within the dismiss window can pile up or overstay far longer than configured.","Bug","Medium","Website Frontend",""
"[Web] HomePage doesn't re-fetch on delivery location change","Unlike ShopPage.tsx, which correctly does — stale 'nearby store' listing until a full reload.","Bug","Medium","Website Frontend",""
"[Web] SearchPage has no request cancellation guard","SearchPage.tsx:15-39 — rapid searches can have an older, slower response overwrite a newer search's results.","Bug","Medium","Website Frontend",""
"[Web] ThankYouPage has no fallback fetch by order ID","ThankYouPage.tsx:10-17,131-158 — order details come only from React Router location.state; refreshing the post-payment page (very common) loses all context and shows 'Order ID: N/A'.","Bug","Medium","Website Frontend",""
"[Web] Two parallel admin-auth systems referenced from frontend","secureAdminAuth.ts's Edge-Function JWT login is referenced by several components but the real login flow (AdminLoginPage.tsx) uses a completely different mechanism (adminAuthService.ts) — the 'secure' path is dead code that's easy to mistake for what's actually running.","Bug","Medium","Website Frontend",""
"[Web] API-base-URL resolution duplicated in 3 places","utils/apiBase.ts, services/authService.ts:44-52, services/orderService.ts:4-12 — instead of sharing one implementation, drift risk.","Bug","Medium","Website Frontend","tech-debt"
"[Web] utils/encryption.ts dead code, weak fallback key","Unused anywhere; client-side 'encryption' with a bundle-embedded key (defaulting to a hardcoded weak string if unset) provides no real confidentiality even if wired up.","Bug","Medium","Website Frontend","tech-debt"
"[Web] Checkout email field is required","pages/CheckoutPage.tsx:813 — blocks OTP customers with no real email from completing checkout, even though customer_email is optional server-side.","Bug","Medium","Website Frontend","qa-audit"
"[Web] No empty-cart redirect at checkout","CheckoutPage.tsx has no mount-time guard, only a submit-time check — landing directly on /checkout with an empty cart shows a fully rendered, unusable form instead of redirecting.","Bug","Medium","Website Frontend","qa-audit"
"[Web] getCurrentUserFromSession uses anon client, blocked by RLS","services/authService.ts:183-215. Masked for the common case by AuthContext.tsx restoring from localStorage on mount, but any path needing a genuine fresh server read silently falls back to stale local state.","Bug","Medium","Website Frontend","qa-audit"
"[Web] CartContext.addToCart mutates cart item in place","context/CartContext.tsx:121-125 — updatedItems[existingItemIndex].quantity += quantity mutates the same object referenced in prevItems. Latent bug for any React.memo-wrapped cart row.","Bug","Medium","Website Frontend","qa-audit"
"[Web] OrderTrackingPage invoice link 404s","pages/OrderTrackingPage.tsx:738-746 links to /api/invoices/${orderId} (doesn't exist); real routes are /api/invoices/order/:orderId/{customer,store,delivery}. Always 404s.","Bug","Medium","Website Frontend","qa-audit"
"[Web] ProtectedRoute.tsx is dead code","No importer anywhere; CheckoutPage, OrdersPage, and others each hand-roll a slightly different inline auth-redirect guard instead, producing inconsistent UX.","Bug","Medium","Website Frontend","qa-audit tech-debt"
"[Web] Stale/undocumented Vite env vars","Root .env.example:7 still documents VITE_SUPABASE_SERVICE_ROLE_KEY (nothing reads it anymore, misleading toward re-introducing the already-fixed key-leak risk); VITE_ENCRYPTION_KEY is undocumented.","Bug","Medium","Website Frontend","qa-audit"
"[Web] GSTIN 'claim GST credit' copy is misleading","CheckoutPage.tsx:1100 — promises a benefit that can't happen since GSTIN is dropped from the payload. Real tax/accounting consequence for business customers.","Bug","Medium","Website Frontend","qa-audit"
"[Web] O(n^3) store-assignment algorithm in createOrder","Uses items.indexOf() inside nested loops — harmless at typical cart sizes, but wasteful.","Bug","Low","Website Frontend","performance"
"[Web] 60+ files have unstripped console.log in production","Including full order payloads and user IDs/phones.","Bug","Low","Website Frontend",""
"[Web] utils/dataMasking.ts is confirmed dead code","Zero importers.","Bug","Low","Website Frontend","tech-debt"
"[Web] Security utilities applied only to admin surface","sanitize.ts, csrf.ts, rateLimit.ts — never to customer-facing forms — inconsistent application, though no direct injection sink found on the customer side.","Bug","Low","Website Frontend","security"
"[Admin] Admin login reads password_hash via anon-readable RLS","services/adminAuthService.ts:85-104 (authenticateAdmin) calls getAdminClient() before any session exists, falling back to the anon-key client — then does bcrypt.compare() in the browser against a hash fetched over the public anon key. Anyone can dump every admin's password hash for offline cracking if the admins RLS policy still permits anon SELECT.","Bug","Highest","Admin Panel","security auth"
"[Admin] getAdminClient() silently downgrades to anon client","services/supabase.ts:46-55 — every function in adminAuthService.ts, adminService.ts, auditLog.ts, and every page calling getAdminClient() directly runs as fully anonymous the moment the session token is gone, with no error thrown.","Bug","Highest","Admin Panel","security"
"[Admin] Admin creation has no server-side role check or RLS","Confirmed via full grep of supabase/migrations/*.sql — zero RLS hits on admins. createAdmin() (adminAuthService.ts:190-227) does a plain insert with nothing at the DB layer stopping arbitrary role/permission assignment.","Bug","Highest","Admin Panel","qa-audit security"
"[Admin] Unchecked-mutation bug class in Notifications/AdminHeader","NotificationsPage.tsx:221-239 (markAllRead/markOneRead/deleteNotification) and :76-82 (PushNotificationPanel.handleSend), plus AdminHeader.tsx:118-120 (markAllRead) — all call .update()/.delete()/.insert() against admin_notifications with no error or row-count check, then optimistically update local state regardless of success.","Bug","High","Admin Panel",""
"[Admin] Store approval is 'blind' — no verification docs shown","StoresPage.tsx never selects/renders verification_document, verification_number, or owner_image_url — columns that exist and are already shown for delivery partners. Admin can click Approve without ever seeing the shopkeeper's submitted ID.","Bug","High","Admin Panel",""
"[Admin] PushNotificationPanel never actually sends a push","NotificationsPage.tsx handleSend (~57-100) fetches Expo push tokens, then only inserts an admin_notifications log row and reports success — there is no actual Expo push API call anywhere in the function. Admins believe a broadcast went out when none did.","Bug","High","Admin Panel","qa-audit"
"[Admin] No per-endpoint permission enforcement for admin roles","hasPermission() (adminAuthService.ts:293-309) is only checked from React components; nothing at the RLS or backend-middleware layer enforces role. A viewer-role admin can bypass the UI to perform writes their role shouldn't allow.","Bug","High","Admin Panel","qa-audit security"
"[Admin] Password-strength schemas defined but never used","admin/src/schemas/admin.schema.ts:11-39,41-68 enforce upper/lower/digit/special-char, but CreateAdminPage.tsx:65 / EditAdminPage.tsx:110 only check length < 8 — weak 8-character passwords like 'aaaaaaaa' are accepted for admin accounts.","Bug","High","Admin Panel","qa-audit security"
"[Admin] Session-creation writes in authenticateAdmin unchecked","adminAuthService.ts:112-127 — the admin_sessions insert and last_login_at update results are discarded entirely. If the session insert silently fails, the UI hands back a token that looks valid but has no corresponding DB row.","Bug","Medium","Admin Panel",""
"[Admin] updateCustomerStatus is a dead no-op","adminService.ts:802-811 — takes unused params, logs a warning, returns null without touching the DB. Currently unused by any button, but a trap if resurrected.","Bug","Medium","Admin Panel","tech-debt"
"[Admin] AdminSidebar isActive('/') references dead path","References /admin, but the app is mounted at / — the Dashboard nav item can never show as active. Cosmetic.","Bug","Medium","Admin Panel","tech-debt"
"[Admin] navigator.userAgent called unguarded in auditLog.ts","services/auditLog.ts:37,62,78 — no environment guard (unlike adminAuthService.ts:119, which has one). If run outside a browser context, throws and silently drops the audit-log write.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] getCustomers returns all app_users with no role filter","adminService.ts:703-706 — no .eq('role', 'customer') — non-customer roles would leak into the Customers list/count.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] Order-status mapping collapses statuses into 5 states","mapDbStatusToFrontend, adminService.ts:447-454 — e.g. preparing_order and ready_for_pickup both collapse to 'confirmed', losing operationally-relevant granularity.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] Admin updateOrderStatus can never set preparing_order","adminService.ts:662-668 maps 'confirmed' -> 'store_accepted', skipping over preparing_order entirely. Distinct from the missing state-machine-validation bug in the same function.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] Admin session stored in sessionStorage only","AdminLoginPage.tsx:46-48 — closing the tab silently logs the admin out, no persistent option.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] Settings prefs are localStorage-only, don't sync","SettingsPage.tsx (NOTIF_PREFS_KEY ~215-268, DISPLAY_PREFS_KEY ~272-339) — don't follow the admin across devices; only Account/password does a real DB write.","Bug","Medium","Admin Panel","qa-audit"
"[Admin] Client-side-only rate limiting on admin login","utils/rateLimit.ts — an in-memory Map reset by any page refresh, no real protection for the vulnerable login flow.","Bug","Low","Admin Panel","security"
"[Admin] Admin email/role/error-stack logged to console","On every login attempt, uncompressed for production.","Bug","Low","Admin Panel",""
"[Admin] services/supabase.ts has dead-weight customer logic","createOrder, getUserOrders, newsletter, address CRUD — dead weight in the admin bundle, looks like a stale copy-paste from the customer-facing frontend.","Bug","Low","Admin Panel","tech-debt"
"[Admin] sessionStorage['adminData'] parsed with raw JSON.parse","CreateAdminPage.tsx:33-34, EditAdminPage.tsx:38-39, AdminManagementPage.tsx:125-126 — instead of the shared getCurrentAdmin() helper — any corruption crashes these pages with an unhandled exception.","Bug","Low","Admin Panel","qa-audit"
"[DB] Migrations can't bootstrap schema from an empty DB","Grepping every CREATE TABLE for coupons, app_users, stores, admins, categories, master_products, order_items, store_orders, and 12 other tables returns zero matches for all of them — only delivery_partners has a real tracked CREATE TABLE. supabase db reset or a fresh project from these migrations alone would fail immediately.","Bug","Highest","Supabase","infra"
"[DB] customer_orders.payment_method type never created","20260404120000_customer_orders_razorpay_payment_id.sql:109 declares type public.payment_method_type, but the enum actually created later is named public.payment_method (no _type suffix). Replayed purely from tracked migrations, this fails.","Bug","Highest","Supabase","infra"
"[DB] public.order_status enum has no CREATE TYPE","The single most important enum in the app (drives all order lifecycle transitions) — used from 20260404120000 onward and later ALTER TYPE ... ADD VALUE'd, but never created.","Bug","Highest","Supabase","infra"
"[DB] SECURITY DEFINER functions missing SET search_path","accept_driver_offer(), auto_offline_stale_drivers(), is_account_locked(), is_admin_authenticated(), notify_admin_new_order(), notify_admin_new_user(), debug_admin_headers(). is_admin_authenticated() is the most sensitive — sole gate for every admin_full_access RLS policy across 9 tables. Standard Postgres privilege-escalation hardening gap.","Bug","High","Supabase","security"
"[DB] debug_admin_headers() diagnostic function never dropped","Despite its own comment saying 'safe to drop once resolved' (it has been). SECURITY DEFINER, no search_path pin, granted to anon/authenticated, returns the full matching admin_sessions row (including session_token) to any caller with a valid x-admin-token.","Bug","High","Supabase","security"
"[DB] No trigger forcing stores.is_active false on revoke","The rider side has an equivalent trigger; the store side doesn't, so a store stays online until the shopkeeper (or a future toggle) happens to touch the row.","Bug","Medium","Supabase",""
"[DB] Public-read grants trap on coupons/product tables","SELECT granted to anon/authenticated while RLS stays disabled on those tables — appears deliberate and carefully scoped, but worth a second confirmation pass and updating SCHEMA_NOTES.md.","Bug","Low","Supabase","informational"
"[DB] 3 RLS policies are permanently dead code","customer_own_orders, customer_own_record, partner_own_record — gate on auth.uid(), but this app doesn't use Supabase Auth, so auth.uid() is always NULL. Not exploitable (fails closed), but misleading.","Bug","Low","Supabase","informational tech-debt"
"[Store] Push notifications never initialized at app startup","lib/notifications.ts's notificationService.initialize() has no caller anywhere in the app — the only way a token gets registered is manually opening Settings -> Notifications -> Enable, despite copy implying it's on by default.","Bug","Highest","Store-owner App",""
"[Store] No global 401 handling","lib/api-client.ts's request() never inspects 401s to trigger logout; error-handler.ts has a handleAuthError() that's dead code. Every screen shows empty data indefinitely on an expired session.","Bug","Highest","Store-owner App",""
"[Store] clearSession() doesn't clear the store-list cache","session.ts:56-63 never calls clearStoreCache() — real cross-account data leak window on shared devices; shopkeeper B briefly sees A's store name/address/approval status.","Bug","High","Store-owner App","security"
"[Store] Push token never cleared on logout","Same root cause as the initialize() gap — a shared device could keep delivering one shopkeeper's order notifications to whoever's currently logged in.","Bug","High","Store-owner App",""
"[Store] useRequireStoreApproval() is reactive, not preventive","The redirect only fires after an async round-trip resolves; Orders/Payouts/Inventory data-fetching effects run in parallel unconditioned on the approval check. If the request errors, the guard fails open silently forever.","Bug","High","Store-owner App","security"
"[Store] Orphaned inventory.tsx route has no approval guard","Still deep-link-reachable via Expo Router's file-based routing even though no in-app navigation targets it; writes directly to the DB.","Bug","High","Store-owner App","security"
"[Store] Realtime channel names include Date.now()","home.tsx:216,223 — causes churn on every store-selection/re-render instead of reusing/deduping channels.","Bug","Medium","Store-owner App","performance"
"[Store] Auto-complete-order-after-2-min only while app open","previous-orders.tsx:285-305 — if the shopkeeper backgrounds/closes the app, orders can be stuck un-completed indefinitely; should be a server-side scheduled job.","Bug","Medium","Store-owner App",""
"[Store] 2 dead-code order-management implementations","hooks/useOrders.ts + components/IncomingOrderPopup.tsx (never wired in) and lib/order-service.ts + components/OrderFilters.tsx (targets a nonexistent API contract).","Bug","Medium","Store-owner App","tech-debt"
"[Store] AppContext.tsx and testSupabase.ts are dead code","testSupabase.ts includes a function that performs live inserts/deletes against the real products table.","Bug","Medium","Store-owner App","tech-debt"
"[Store] CachedStore type doesn't declare is_approved","All the approval-gate logic throughout the app relies on untyped 'as any' casts — a backend field rename would fail silently with no compiler error.","Bug","Medium","Store-owner App","tech-debt"
"[Store] Home screen activeOrderCount hardcoded to 0","app/(tabs)/home.tsx:109 — const activeOrderCount = 0, passed straight into StoreStatusCard. Shopkeepers see a permanently-wrong indicator.","Bug","Medium","Store-owner App","qa-audit"
"[Store] Store images support only a single image","lib/storage.ts:71-77 uses a fixed path and returns a single result; real product-completeness gap for store listings.","Bug","Medium","Store-owner App","qa-audit"
"[Store] No admin notification on profile-edit (approval flow)","Zero matches for a profile_change_request concept anywhere in the repo — profile edits take effect with no admin review trail.","Bug","Medium","Store-owner App","qa-audit"
"[Store] toggleStoreStatus implemented 3x, only 1 wired up","lib/store-service.ts:146, hooks/useStore.ts:75, and an inline copy in home.tsx:252-275 (the only one wired). A fix applied to either unused implementation would silently never take effect.","Bug","Medium","Store-owner App","qa-audit tech-debt"
"[Store] setAllProductsOffline/restoreActiveProductsOnline no-op","lib/storeProducts.ts:436-438,444-446 both return true unconditionally, yet are awaited unconditionally on every toggle in home.tsx. Gives shopkeepers a false impression that product visibility changes.","Bug","Medium","Store-owner App","qa-audit"
"[Store] orders-db.ts has a silent 4-strategy fallback chain","getOrdersFromDb() cascades RPC -> direct-table -> customer_orders fallback, all failures swallowed to console.warn. An RLS misconfiguration degrades silently into an indistinguishable 'no orders' state.","Bug","Medium","Store-owner App","qa-audit"
"[Store] Own supabase/*.sql scripts unverifiable on live DB","Tracked in git but aren't real Supabase-CLI migrations (no migrations/ dir or config.toml) — several live code paths depend on these having been run against production with no static way to confirm.","Bug","Medium","Store-owner App","qa-audit infra"
"[Store] Silent catch {} blocks in approval-check/session flows","Already partly known/intentional, re-confirmed present.","Bug","Low","Store-owner App",""
"[Store] Heavy unconditional console.log in lib/notifications.ts","Not gated behind __DEV__, including full notification payload contents.","Bug","Low","Store-owner App",""
"[Store] scheduleNotification's _triggerDate param ignored","Always fires immediately regardless of what's passed — misleading if a 'daily summary' feature is ever built on top.","Bug","Low","Store-owner App",""
"[Store] registration-success.tsx redirects after flat 2.5s","Regardless of outcome — no immediate 'you're pending' moment right after signup.","Bug","Low","Store-owner App",""
"[Store] isActivated defaults to true when missing from server","Fail-open, though currently only affects a profile-page label, not access control.","Bug","Low","Store-owner App",""
"[Rider] Service-role key plumbed into the client bundle","constants/config.ts:33-37 + app.config.js:86-90 — if EXPO_PUBLIC_SUPABASE_SERVICE_ROLE_KEY is ever set at build time, the full-privilege key ships inside every installed APK/IPA, extractable via decompilation.","Bug","Highest","Rider App","security"
"[Rider] Unauthenticated fallback leaks every rider's PII","app/(tabs)/profile.tsx:110-135 — if /delivery-partner/profile fails, falls back to fetching the entire delivery-partner roster with no token, exposing every other rider's verification documents, phone, and address.","Bug","High","Rider App","security pii"
"[Rider] 'Always' location requested but never used","app.config.js configures always-permission, but code only calls requestForegroundPermissionsAsync() and uses foreground-only watchPositionAsync + a JS setInterval heartbeat. A rider mid-delivery with a locked phone has stale location while still being dispatched new offers.","Bug","High","Rider App",""
"[Rider] Reinstatement invisible until app restart","The status-approval poll only starts when driverStatus === 'pending_verification' — a rider reinstated while the app stays open has no way to discover it short of force-quitting.","Bug","High","Rider App",""
"[Rider] Approval detection is poll-only, no realtime","Unlike order offers, which do use Realtime. A newly-signed-up rider waits up to 30s after admin approval to see it reflected.","Bug","High","Rider App",""
"[Rider] No ErrorBoundary anywhere in the app","An unhandled render exception crashes the whole app with no fallback UI.","Bug","High","Rider App",""
"[Rider] Double-tap 'Accept offer' can fire two requests","No useRef in-flight lock, only async state — server-side atomicity likely prevents double-award, but produces duplicate network calls/alerts/navigations.","Bug","Medium","Rider App",""
"[Rider] Realtime-channel subscribe/teardown race","home.tsx:321-356 can orphan a Supabase channel subscription if isOnline toggles quickly — leads to duplicated haptic buzzes/fetches for new offers.","Bug","Medium","Rider App",""
"[Rider] Earnings screen hardcodes a 15% commission client-side","profile.tsx:147, earnings.tsx:90-98,163,217 — no backend-provided payout field; will silently drift from real payouts if the commission structure ever varies.","Bug","Medium","Rider App","money"
"[Rider] 'Ignore offer' is client-state-only, unpersisted","Resets on any app restart, so a previously-ignored offer can reappear.","Bug","Medium","Rider App",""
"[Rider] Active-order poll runs 6s regardless of online status","app/(tabs)/home.tsx:319-342 — gated only on !token, unconditionally polls. Only the offers poll is gated on isOnline — unnecessary battery/network drain while deliberately offline.","Bug","Medium","Rider App","qa-audit performance"
"[Rider] No admin audit trail on rider profile-edit requests","app/(tabs)/profile.tsx:212-244 does a direct PATCH with no request-tracking or admin-facing notification.","Bug","Medium","Rider App","qa-audit"
